index,id,language,setCode,translation
0,1,Chinese Simplified,4ED,
1,2,Chinese Traditional,4ED,
2,3,French,4ED,Quatrième édition
3,4,German,4ED,
4,5,Italian,4ED,
5,6,Japanese,4ED,
6,7,Korean,4ED,
7,8,Portuguese (Brazil),4ED,
8,9,Russian,4ED,
9,10,Spanish,4ED,
10,11,Chinese Simplified,5ED,
11,12,Chinese Traditional,5ED,
12,13,French,5ED,Cinquième édition
13,14,German,5ED,
14,15,Italian,5ED,
15,16,Japanese,5ED,
16,17,Korean,5ED,
17,18,Portuguese (Brazil),5ED,
18,19,Russian,5ED,
19,20,Spanish,5ED,
20,21,Chinese Simplified,6ED,
21,22,Chinese Traditional,6ED,
22,23,French,6ED,Sixième édition
23,24,German,6ED,
24,25,Italian,6ED,
25,26,Japanese,6ED,
26,27,Korean,6ED,
27,28,Portuguese (Brazil),6ED,
28,29,Russian,6ED,
29,30,Spanish,6ED,
30,31,Chinese Simplified,7ED,
31,32,Chinese Traditional,7ED,
32,33,French,7ED,Septième édition
33,34,German,7ED,
34,35,Italian,7ED,
35,36,Japanese,7ED,
36,37,Korean,7ED,
37,38,Portuguese (Brazil),7ED,
38,39,Russian,7ED,
39,40,Spanish,7ED,
40,41,Chinese Simplified,BOK,
41,42,Chinese Traditional,BOK,
42,43,French,BOK,Traîtres de Kamigawa
43,44,German,BOK,
44,45,Italian,BOK,
45,46,Japanese,BOK,
46,47,Korean,BOK,
47,48,Portuguese (Brazil),BOK,
48,49,Russian,BOK,
49,50,Spanish,BOK,
50,51,Chinese Simplified,CHK,
51,52,Chinese Traditional,CHK,
52,53,French,CHK,Guerriers de Kamigawa
53,54,German,CHK,
54,55,Italian,CHK,
55,56,Japanese,CHK,
56,57,Korean,CHK,
57,58,Portuguese (Brazil),CHK,
58,59,Russian,CHK,
59,60,Spanish,CHK,
60,61,Chinese Simplified,DOM,
61,62,Chinese Traditional,DOM,
62,63,French,DOM,Dominaria
63,64,German,DOM,
64,65,Italian,DOM,
65,66,Japanese,DOM,
66,67,Korean,DOM,
67,68,Portuguese (Brazil),DOM,
68,69,Russian,DOM,
69,70,Spanish,DOM,
70,71,Chinese Simplified,ELD,
71,72,Chinese Traditional,ELD,
72,73,French,ELD,Le Trône d'Eldraine
73,74,German,ELD,
74,75,Italian,ELD,
75,76,Japanese,ELD,
76,77,Korean,ELD,
77,78,Portuguese (Brazil),ELD,
78,79,Russian,ELD,
79,80,Spanish,ELD,
80,81,Chinese Simplified,EMN,
81,82,Chinese Traditional,EMN,
82,83,French,EMN,La Lune Hermétique
83,84,German,EMN,
84,85,Italian,EMN,
85,86,Japanese,EMN,
86,87,Korean,EMN,
87,88,Portuguese (Brazil),EMN,
88,89,Russian,EMN,
89,90,Spanish,EMN,
90,91,Chinese Simplified,EXO,
91,92,Chinese Traditional,EXO,
92,93,French,EXO,Exode
93,94,German,EXO,
94,95,Italian,EXO,
95,96,Japanese,EXO,
96,97,Korean,EXO,
97,98,Portuguese (Brazil),EXO,
98,99,Russian,EXO,
99,100,Spanish,EXO,
100,101,Chinese Simplified,HML,
101,102,Chinese Traditional,HML,
102,103,French,HML,Terres natales
103,104,German,HML,
104,105,Italian,HML,
105,106,Japanese,HML,
106,107,Korean,HML,
107,108,Portuguese (Brazil),HML,
108,109,Russian,HML,
109,110,Spanish,HML,
110,111,Chinese Simplified,ICE,
111,112,Chinese Traditional,ICE,
112,113,French,ICE,Ère glaciaire
113,114,German,ICE,
114,115,Italian,ICE,
115,116,Japanese,ICE,
116,117,Korean,ICE,
117,118,Portuguese (Brazil),ICE,
118,119,Russian,ICE,
119,120,Spanish,ICE,
120,121,Chinese Simplified,IKO,
121,122,Chinese Traditional,IKO,
122,123,French,IKO,Ikoria la Terre de Béhémoths
123,124,German,IKO,
124,125,Italian,IKO,
125,126,Japanese,IKO,
126,127,Korean,IKO,
127,128,Portuguese (Brazil),IKO,
128,129,Russian,IKO,
129,130,Spanish,IKO,
130,131,Chinese Simplified,M20,
131,132,Chinese Traditional,M20,
132,133,French,M20,Edition de base 2020
133,134,German,M20,
134,135,Italian,M20,
135,136,Japanese,M20,
136,137,Korean,M20,
137,138,Portuguese (Brazil),M20,
138,139,Russian,M20,
139,140,Spanish,M20,
140,141,Chinese Simplified,M21,
141,142,Chinese Traditional,M21,
142,143,French,M21,Edition de base 2021
143,144,German,M21,
144,145,Italian,M21,
145,146,Japanese,M21,
146,147,Korean,M21,
147,148,Portuguese (Brazil),M21,
148,149,Russian,M21,
149,150,Spanish,M21,
