index,id,artist,asciiName,availability,boosterTypes,borderColor,colorIdentity,colors,faceName,finishes,flavorText,frameEffects,frameVersion,hasFoil,hasNonFoil,isFullArt,isFunny,isPromo,isReprint,isTextless,keywords,language,layout,manaCost,mcmId,mtgArenaId,mtgjsonV4Id,multiverseId,name,number,originalText,originalType,otherFaceIds,power,promoTypes,reverseRelated,scryfallId,scryfallIllustrationId,scryfallOracleId,securityStamp,setCode,side,signature,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,watermark
0,1,Paolo Parente,,paper,draft,black,W,W,,nonfoil,,,2003,0,1,1,0,0,1,0,,English,token,,,,a4790d8f-c710-52b8-aa2d-994d2cbe7804,,Soldier,1,,,,1,setpromo,"Abdel Adrian, Gorion's Ward,Akroan Horse,Alliance of Arms,Ancestral Blade,Attended Knight,Bant Sojourners,Basri Ket,Benalish Commander,Captain of the Watch,Captain's Call,Darien, King of Kjeldor,Decree of Justice,Defiler of Faith,Deploy to the Front,Elspeth, Knight-Errant,Elspeth, Sun's Champion,Elspeth Tirel,Entrapment Maneuver,Evangel of Heliod,Even the Odds,First Response,Heroic Reinforcements,Hero of Bladehold,Horn of Valhalla // Ysgard's Call,Ironroot Warlord,Keeper of the Accord,Kjeldoran Outpost,Knight-Captain of Eos,Launch the Fleet,Lena, Selfless Champion,Lieutenants of the Guard,Martial Coup,Memorial to Glory,Mobilization,Murder Investigation,Prava of the Steel Legion,Precinct Captain,Queen Allenal of Ruadach,Raise the Alarm,Recruitment Drive,Recruit the Worthy,Secure the Scene,Security Detail,Sergeant-at-Arms,Skyknight Vanguard,Stormfront Riders,Throne of Empires,Timely Reinforcements,Torsten, Founder of Benalia,Undercellar Sweep,Veteran Soldier,You're Confronted by Robbers,Decree of Justice,Kjeldoran Outpost",c8ae31d1-9a6e-43f3-9b04-bd15699f73d6,e501a169-849f-468d-953e-62a6044a868e,eac25f12-6459-438c-a09e-93e23d2cf80d,,T10E,,,Soldier,,78612,,1,Token Creature — Soldier,"Token,Creature",5aea21ce-bd08-5cd4-87f1-991f8f708d7c,
1,2,Carl Critchlow,,paper,draft,black,B,B,,nonfoil,,,2003,0,1,1,0,0,1,0,,English,token,,,,743cc046-fb14-5c74-a8b1-50b507527238,,Zombie,2,,,,2,setpromo,"Acererak the Archlich,Aphemia, the Cacophony,Archdemon of Unx,Army of the Damned,Assemble the Rank and Vile,Awaken the Erstwhile,Boneclad Necromancer,Bone Miser,Bridge from Below,Captive Audience,Cellar Door,Cemetery Reaper,Cradle of the Accursed,Cryptbreaker,Curse of Disturbance,Curse of Shallow Graves,Dark Salvation,Death Tyrant,Diregraf Colossus,Doomed Dissenter,Drana's Chosen,Dread Summons,Drunau Corpse Trawler,Dunes of the Dead,Dying to Serve,Empty the Pits,Endless Ranks of the Dead,Feast or Famine,Field of the Dead,From Under the Floorboards,Ghoulcaller Gisa,Ghoulcaller's Accomplice,Gisa's Bidding,Graf Harvest,Grave Titan,Graveyard Marshal,Grixis Slavedriver,Havengul Runebinder,Headless Rider,Hour of Promise,Kalitas, Traitor of Ghet,Liliana, Death's Majesty,Liliana, Dreadhorde General,Liliana, Heretical Healer // Liliana, Defiant Necromancer,Liliana's Devotee,Liliana's Mastery,Liliana's Reaver,Liliana, the Last Hope,Maalfeld Twins,Magus of the Bridge,Midnight Ritual,Moan of the Unhallowed,Necromancer's Covenant,Necromancer's Stockpile,Necromaster Dragon,Necromentia,Necrotic Hex,Nested Ghoul,Never // Return,Nevinyrral, Urborg Tyrant,Noosegraf Mob,Null Caller,Oath of Liliana,Oglor, Devoted Assistant,Open the Graves,Overseer of the Damned,Rakshasa Gravecaller,Rank Officer,Reap the Seagraf,Rise from the Tides,Rotlung Reanimator,Sarcomancy,Shamble Back,Sidisi, Brood Tyrant,Skull Skaab,Stir the Sands,Syphon Flesh,The Book of Vile Darkness,Tombstone Stairwell,Tormod, the Desecrator,Tymaret Calls the Dead,Undead Alchemist,Undead Servant,Unscythe, Killer of Kings,Varina, Lich Queen,Vile Rebirth,Wakedancer,Wand of Orcus,Waste Not,Wight,Xathrid Necromancer,Zombie Infestation,Lair of the Ashen Idol,The Fourth Sphere",8a73e348-5bf1-4465-978b-3f31408bade9,26f5ec4c-1603-42ac-a467-2b32faa4b71c,ddc8c973-c31e-463f-be45-f3fa7d632362,,T10E,,,Zombie,,78607,,2,Token Creature — Zombie,"Token,Creature",63ac47ed-3457-5af8-9a33-1bb5dcb9ca9f,
2,3,Jim Pavelec,,paper,draft,black,R,R,,nonfoil,,,2003,0,1,0,0,0,0,0,Flying,English,token,,,,a3720e3f-37be-503c-a50d-d62e0d08bf66,,Dragon,3,,,,5,setpromo,"Awaken the Sky Tyrant,Day of the Dragons,Death by Dragons,Draconic Disciple,Dragonkin Berserker,Dragonmaster Outcast,Dragon Roost,Lathliss, Dragon Queen,Loot Dispute,Sarkhan, Fireblood,Sarkhan the Mad,Skyline Despot,Look Skyward and Despair,Shiv",993b3b90-74c3-479b-b3e6-3f1cd8f1da04,1462a26d-dd62-457d-96f2-07a4066426ed,60fe4897-6760-4c5a-8074-c92bd64df52b,,T10E,,,Dragon,,78608,Flying,5,Token Creature — Dragon,"Token,Creature",7decf258-eb10-50da-83f7-c7eba74adbfb,
3,4,Dave Kendall,,paper,draft,black,R,R,,nonfoil,,,2003,0,1,1,0,0,1,0,,English,token,,,,bb1252f0-cf77-54f1-bea3-b00f027e5597,,Goblin,4,,,,1,setpromo,"Battle Cry Goblin,Beetleback Chief,Blast from the Past,Box of Free-Range Goblins,Chancellor of the Forge,Den of the Bugbear,Dragon Fodder,Empty the Warrens,Garbage Elemental,Gift Horse,Goblin Assault,Goblin Gang Leader,Goblin Gathering,Goblin Goliath,Goblin Instigator,Goblin Marshal,Goblin Morningstar,Goblin Offensive,Goblin Rabblemaster,Goblin Rally,Goblinslide,Goblin Traprunner,Goblin War Party,Goblin Warrens,Hordeling Outburst,Hunted Phantasm,Ib Halfheart, Goblin Tactician,Kathari Bomber,Krenko, Mob Boss,Krenko's Command,Krenko, Tin Street Kingpin,Kuldotha Rebirth,Legion Warboss,Lost Mine of Phandelver,Mardu Ascendancy,Mogg Alarm,Mogg Infestation,Mogg War Marshal,Pashalik Mons,Ponyback Brigade,Sarpadian Empires, Vol. VII,Siege-Gang Commander,Sling-Gang Lieutenant,Survey the Wreckage,Swarming Goblins,Tin Street Cadet,Warbreak Trumpeter,You See a Pair of Goblins,Goblin Gang Leader,Jund,Siege-Gang Commander",e9577d3c-ee19-4b53-adac-b304287a066f,12f18aeb-2a92-431f-9d1d-9d3ae9c9dba5,4465eff4-5851-4721-a248-866c686c2ab8,,T10E,,,Goblin,,78610,,1,Token Creature — Goblin,"Token,Creature",8b44e4ca-fb3a-5ef1-a607-6ed5b98cb216,
4,5,Cyril Van Der Haegen,,paper,draft,black,G,G,,nonfoil,,,2003,0,1,1,0,0,0,0,,English,token,,,,39a5f829-db44-56e7-967d-90b10e749d55,,Saproling,5,,,,1,setpromo,"Aether Mutation,Artifact Mutation,Aura Mutation,Bramble Elemental,Deathbloom Thallid,Death Mutation,Deathspore Thallid,Dreampod Druid,Druidic Satchel,Elvish Farmer,Fists of Ironwood,Flash Foliage,Fungal Infection,Fungal Plots,Fungal Rebirth,Fungal Sprouting,Ghave, Guru of Spores,Golgari Germination,Greener Pastures,Jade Mage,Jund Battlemage,Korozda Guildmage,Last Stand,Morbid Bloom,Mycologist,Mycoloth,Necrogenesis,Nemata, Grove Guardian,Night Soil,Overgrown Armasaur,Pallid Mycoderm,Pollenbright Wings,Psychotrope Thallid,Rith's Charm,Rith, the Awakener,Saproling Cluster,Saproling Infestation,Saproling Migration,Saproling Symbiosis,Sarpadian Empires, Vol. VII,Savage Thallid,Scatter the Seeds,Seed Spark,Selesnya Evangel,Selesnya Guildmage,Slimefoot, the Stowaway,Spontaneous Generation,Spore Burst,Sporemound,Sporesower Thallid,Spore Swarm,Sporeweb Weaver,Sporogenesis,Sporoloth Ancient,Sprout,Sprouting Thrinax,Sprout Swarm,Supply // Demand,Tana, the Bloodsower,Tendershoot Dryad,Thallid,Thallid Devourer,Thallid Germinator,Thallid Shell-Dweller,Thelonite Hermit,Tukatongue Thallid,Ulasht, the Hate Seed,Undercellar Myconid,Utopia Mycon,Verdant Embrace,Verdant Force,Verdeloth the Ancient,Vitaspore Thallid,Vitu-Ghazi, the City-Tree,Yavimaya Sapherd,Grand Ossuary,Saproling Cluster,Verdant Force",698d48fa-d6c1-44b9-8aa2-bb03e0e53788,5bd316ce-2a6b-436d-9b0d-efc131e838a8,2b7dba01-b08c-4218-9fc1-da55559d9155,,T10E,,,Saproling,,78611,,1,Token Creature — Saproling,"Token,Creature",e5f8bf25-2f3e-59c6-a59e-313184ee43db,
5,6,Ron Spencer,,paper,draft,black,,,,nonfoil,,,2003,0,1,0,0,0,0,0,Flying,English,token,,,,0d49c073-705b-5852-9c4e-f319ea7584ae,,Wasp,6,,,,1,setpromo,"The Hive,The Hive",c75b81b5-5c84-45d4-832a-20c038372bc6,9255cb62-bfaa-4af7-93af-7121348c1ecc,e0a4cf18-57ca-47e5-b7b0-c26975601660,,T10E,,,Insect,,78609,Flying,1,Token Artifact Creature — Insect,"Token,Artifact,Creature",ce98066c-a3a1-51a2-bffc-12c38ef45905,
6,7,Izzy,,paper,,black,,,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,7770269e-8d09-5b4a-bad0-eccad613e537,,Eldrazi Scion,1,,,,1,,"Abstruse Interference,Adverse Conditions,Birthing Hulk,Blight Herder,Blisterpod,Brood Butcher,Brood Monitor,Call the Scions,Carrier Thrall,Catacomb Sifter,Drowner of Hope,Eldrazi Skyspawner,Eyeless Watcher,From Beyond,Grave Birthing,Incubator Drone,Scion Summoner,Sifter of Skulls,Spawning Bed,Vile Redeemer,Void Attendant,Warping Wail",265b1462-dd9c-42af-8ba0-e840f8a651e2,ddcd64a9-54f1-4338-89d8-1722f57d6237,0eb3cd4b-c34e-448c-a9ab-e7b0b4524833,,T2X2,,,"Eldrazi,Scion",,,Sacrifice this creature: Add {C}.,1,Token Creature — Eldrazi Scion,"Token,Creature",7cba0b1c-2752-57f2-bdee-e0f45123aa54,
7,8,Daniel Ljunggren,,paper,,black,,,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,,English,token,,,,1a5e2f86-ad1d-57e3-8447-dc9356687b85,,Spirit,2,,,,1,,"Akki Ember-Keeper,Baku Altar,Concord with the Kami,Dripping-Tongue Zubera,Forbidden Orchard,Gods' Eye, Gate to the Reikai,Go-Shintai of Shared Purpose,Haunting Imitation,Honden of Life's Web,Myojin of Blooming Dawn,One with the Kami,Promise of Bunrei,Release to Memory,Séance,Searchlight Companion,Sekki, Seasons' Guide,Sokenzan, Crucible of Defiance,Soul Separator,Spiritual Visit,Teachings of the Kirin // Kirin-Touched Orochi,The Restoration of Eiganjo // Architect of Restoration",c672ee51-0e77-463f-8586-191b413c44dd,c8476bc5-b6cf-48b4-be06-8b805d146282,6a7a9dff-ff9e-4005-a17f-6ea0c11c1d5a,,T2X2,,,Spirit,,,,1,Token Creature — Spirit,"Token,Creature",833fee32-d935-51e4-b378-8fa466620a49,
8,9,Grzegorz Rutkowski,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,"Flying,Vigilance",English,token,,,,61ae7256-38e7-5678-858c-d9373bba1291,,Angel,3,,,,4,,"Divine Visitation,Finale of Glory,Jenson Carthalion, Druid Exile,Parhelion II,Rampage of the Valkyries,Resplendent Angel,Serra the Benevolent,Valkyrie Harbinger",31434b32-b741-4a4d-813e-7006fe7ffa3c,78dd2c5f-29b7-400a-bbf7-4f7cedddb603,29ff8699-53d8-413b-8a3c-0e3ea1e13ff0,,T2X2,,,Angel,,,"Flying, vigilance",4,Token Creature — Angel,"Token,Creature",4ad6b1d3-c030-52bd-a568-6134cd2ea3ed,
9,10,Jakub Kasper,,paper,,black,W,W,,"nonfoil,foil",,,2015,1,1,0,0,0,1,0,Flying,English,token,,,,5fae9c03-ab4b-50c6-a567-520c501b9b13,,Aven Initiate,4,,,,3,,,12feaabf-7b3e-4cef-8d45-1b9bbe2baaf6,8f11e5c8-e0aa-4d4c-b574-5f9b78e25c37,76a82a10-643d-441c-9895-70004cc56487,,T2X2,,,"Zombie,Bird,Warrior",,,Flying,2,Token Creature — Zombie Bird Warrior,"Token,Creature",03462caa-c066-5f44-8af9-5932944e808b,
